qxdata17,qydata17
11.61,6.57205
11.62,6.5661
11.63,6.56015
11.64,6.5542
11.65,6.54825
11.66,6.5423
11.67,6.53635
11.68,6.5304
11.69,6.52445
11.7,6.5185
11.71,6.51255
11.72,6.5066
11.73,6.50065
11.74,6.4947
11.75,6.48875
11.76,6.4828
11.77,6.47685
11.78,6.4709
11.79,6.46495
11.8,6.459
11.81,6.45305
11.82,6.4471
11.83,6.44115
11.84,6.4352
11.85,6.42925
11.86,6.4233
11.87,6.41735
11.88,6.4114
11.89,6.40545
11.9,6.3995
11.91,6.39355
11.92,6.3876
11.93,6.38165
11.94,6.3757
11.95,6.36975
11.96,6.3638
11.97,6.35785
11.98,6.3519
11.99,6.34595
12,6.34
12.01,6.33405
12.02,6.3281
12.03,6.32215
12.04,6.3162
12.05,6.31025
12.06,6.3043
12.07,6.29835
12.08,6.2924
12.09,6.28645
12.1,6.2805
12.11,6.27455
12.12,6.2686
12.13,6.26265
12.14,6.2567
12.15,6.25075
12.16,6.2448
12.17,6.23885
12.18,6.2329
12.19,6.22695
12.2,6.221
12.21,6.21505
12.22,6.2091
12.23,6.20315
12.24,6.1972
12.25,6.19125
12.26,6.1853
12.27,6.17935
12.28,6.1734
12.29,6.16745
12.3,6.1615
12.31,6.15555
12.32,6.1496
12.33,6.14365
12.34,6.1377
12.35,6.13175
12.36,6.1258
12.37,6.11985
12.38,6.1139
12.39,6.10795
12.4,6.102
12.41,6.09605
12.42,6.0901
12.43,6.08415
12.44,6.0782
12.45,6.07225
12.46,6.0663
12.47,6.06035
12.48,6.0544
12.49,6.04845
12.5,6.0425
12.51,6.03655
12.52,6.0306
12.53,6.02465
12.54,6.0187
12.55,6.01275
12.56,6.0068
12.57,6.00085
12.58,5.9949
12.59,5.98895
12.6,5.983
12.61,5.97705
12.62,5.9711
12.63,5.96515
12.64,5.9592
12.65,5.95325
12.66,5.9473
12.67,5.94135
12.68,5.9354
12.69,5.92945
12.7,5.9235
12.71,5.91755
12.72,5.9116
12.73,5.90565
12.74,5.8997
12.75,5.89375
12.76,5.8878
12.77,5.88185
12.78,5.8759
12.79,5.86995
12.8,5.864
12.81,5.85805
12.82,5.8521
12.83,5.84615
12.84,5.8402
12.85,5.83425
12.86,5.8283
12.87,5.82235
12.88,5.8164
12.89,5.81045
12.9,5.8045
12.91,5.79855
12.92,5.7926
12.93,5.78665
12.94,5.7807
12.95,5.77475
12.96,5.7688
12.97,5.76285
12.98,5.7569
12.99,5.75095
13,5.745
13.01,5.74095
13.02,5.7369
13.03,5.73285
13.04,5.7288
13.05,5.72475
13.06,5.7207
13.07,5.71665
13.08,5.7126
13.09,5.70855
13.1,5.7045
13.11,5.70045
13.12,5.6964
13.13,5.69235
13.14,5.6883
13.15,5.68425
13.16,5.6802
13.17,5.67615
13.18,5.6721
13.19,5.66805
13.2,5.664
13.21,5.65995
13.22,5.6559
13.23,5.65185
13.24,5.6478
13.25,5.64375
13.26,5.6397
13.27,5.63565
13.28,5.6316
13.29,5.62755
13.3,5.6235
13.31,5.61945
13.32,5.6154
13.33,5.61135
13.34,5.6073
13.35,5.60325
13.36,5.5992
13.37,5.59515
13.38,5.5911
13.39,5.58705
13.4,5.583
13.41,5.57895
13.42,5.5749
13.43,5.57085
13.44,5.5668
13.45,5.56275
13.46,5.5587
13.47,5.55465
13.48,5.5506
13.49,5.54655
13.5,5.5425
13.51,5.53845
13.52,5.5344
13.53,5.53035
13.54,5.5263
13.55,5.52225
13.56,5.5182
13.57,5.51415
13.58,5.5101
13.59,5.50605
13.6,5.502
13.61,5.49795
13.62,5.4939
13.63,5.48985
13.64,5.4858
13.65,5.48175
13.66,5.4777
13.67,5.47365
13.68,5.4696
13.69,5.46555
13.7,5.4615
13.71,5.45745
13.72,5.4534
13.73,5.44935
13.74,5.4453
13.75,5.44125
13.76,5.4372
13.77,5.43315
13.78,5.4291
13.79,5.42505
13.8,5.421
13.81,5.41695
13.82,5.4129
13.83,5.40885
13.84,5.4048
13.85,5.40075
13.86,5.3967
13.87,5.39265
13.88,5.3886
13.89,5.38455
13.9,5.3805
13.91,5.37645
13.92,5.3724
13.93,5.36835
13.94,5.3643
13.95,5.36025
13.96,5.3562
13.97,5.35215
13.98,5.3481
13.99,5.34405
14,5.34
14.01,5.33595
14.02,5.3319
14.03,5.32785
14.04,5.3238
14.05,5.31975
14.06,5.3157
14.07,5.31165
14.08,5.3076
14.09,5.30355
14.1,5.2995
14.11,5.29545
14.12,5.2914
14.13,5.28735
14.14,5.2833
14.15,5.27925
14.16,5.2752
14.17,5.27115
14.18,5.2671
14.19,5.26305
14.2,5.259
14.21,5.25495
14.22,5.2509
14.23,5.24685
14.24,5.2428
14.25,5.23875
14.26,5.2347
14.27,5.23065
14.28,5.2266
14.29,5.22255
14.3,5.2185
14.31,5.21445
14.32,5.2104
14.33,5.20635
14.34,5.2023
14.35,5.19825
14.36,5.1942
14.37,5.19015
14.38,5.1861
14.39,5.18205
14.4,5.178
14.41,5.17395
14.42,5.1699
14.43,5.16585
14.44,5.1618
14.45,5.15775
14.46,5.1537
14.47,5.14965
14.48,5.1456
14.49,5.14155
14.5,5.1375
14.51,5.13345
14.52,5.1294
14.53,5.12535
14.54,5.1213
14.55,5.11725
14.56,5.1132
14.57,5.10915
14.58,5.1051
14.59,5.10105
14.6,5.097
14.61,5.09295
14.62,5.0889
14.63,5.08485
14.64,5.0808
14.65,5.07675
14.66,5.0727
14.67,5.06865
14.68,5.0646
14.69,5.06055
14.7,5.0565
14.71,5.05245
